Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
smile,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
swing,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
swing,swing,concrete-positive,concrete-positive,SelfPair,cp-cp
swing,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
swing,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
